opportunity number,region,Sales Team,Opportunity Name,epc phase,opportunity owner,Stage,Fiscal Period,Use Case,ACV ($),Next Steps,date in stage 0,date in Stage 1,Date in Stage 2,date in stage 3,days in stage 4,date in stage 5,account name,account grouping,contact title,Budget approved,Compelling event established,Close plan agreed,Why Anything?,Why Now?,Why us as a vendor?,Competitor,Partner,customer Need for our solution
OPP-FY26-0021,APAC,SMB,Company 21 - AI/ML Enablement,Explore,Owner 193,4,Q2 FY26,AI/ML Enablement,144262,POC run,2026-03-16,2026-04-05,2026-05-17,2026-06-23,66,,Company 21,Parent Account 172,Director IT,No,Yes,No,,Exec mandate,,Internal Build,Consulting Co,Reduce Ops
OPP-FY26-0022,EMEA,Strategic Accounts,Company 22 - Customer 360 View,Commit,Owner 89,3,Q2 FY26,AI/ML Enablement,52288,POC run,2026-01-23,,2026-02-04,2026-02-25,,,Company 22,,Head of Data,No,,Yes,,,Strong roadmap,Competitor B,GSII,Reduce Ops
OPP-FY26-0023,NORAM,Strategic Accounts,Company 23 - Cloud Cost Optimization,Explore,Owner 147,2,Q1 FY26,Data Platform Modernization,62349,Deep dive,2025-10-04,,2025-11-21,,,,Company 23,Parent Account 113,,Yes,,Yes,Fragmented tools,,,Competitor B,Partner X,Faster release
OPP-FY26-0024,LAC,Enterprise,Company 24 - Analytics & Reporting,Explore,Owner 161,4,Q1 FY26,Security & Compliance,25467,Exec sponsor confirm,2025-11-27,,2026-01-29,2026-03-01,182,,Company 24,Parent Account 21,CTO,,No,,,Exec mandate,,Competitor B,GSII,Reduce Ops
OPP-FY26-0025,EMEA,Strategic Accounts,Company 25 - Cloud Cost Optimization,Prove,Owner 177,4,Q1 FY26,Data Platform Modernization,43190,Implementation plan,2025-11-27,,,2026-02-11,219,,Company 25,Parent Account 70,Head of Data,,Yes,No,,Renewal soon,Strong roadmap,Competitor B,Consulting Co,Faster release
OPP-FY26-0026,APAC,Strategic Accounts,Company 26 - Data Platform Modernization,Prove,Owner 86,1,Q2 FY26,Data Platform Modernization,63994,Implementation plan,2026-02-27,2026-03-29,,,,,Company 26,Parent Account 42,VP Eng,No,No,Yes,,Renewal soon,References match,Competitor A,None,Faster release
OPP-FY26-0027,GP&A,Enterprise,Company 27 - Security & Compliance,Prove,Owner 141,1,Q2 FY26,Security & Compliance,30013,Exec sponsor confirm,2026-02-10,2026-03-08,,,,,Company 27,,Director IT,,Yes,No,,Renewal soon,Low TCO,Competitor B,Consulting Co,Security posture
OPP-FY26-0028,NORAM,Public Sector,Company 28 - Customer 360 View,Commit,Owner 35,2,Q2 FY26,Analytics & Reporting,75013,,2026-01-15,,2026-03-22,,,,Company 28,Parent Account 198,Cloud Arch,No,No,No,Reg risk,M&A drive,,Status Quo,Consulting Co,Faster release
OPP-FY26-0029,GP&A,Enterprise,Company 29 - Data Platform Modernization,Commit,Owner 122,1,Q2 FY26,DevOps & Automation,41756,Exec sponsor confirm,2026-03-28,2026-04-15,,,,,Company 29,,Director IT,Yes,,No,,,Best fit,Competitor B,Partner X,Faster release
OPP-FY26-0030,LAC,Strategic Accounts,Company 30 - Data Platform Modernization,Commit,Owner 184,2,Q1 FY26,Analytics & Reporting,50260,POC run,2025-12-26,2026-02-06,2026-03-06,,,,Company 30,Parent Account 139,CIO,Yes,No,Yes,Fragmented tools,Renewal soon,Strong roadmap,Competitor A,GSII,
OPP-FY26-0031,NORAM,Mid-Market,Company 31 - Security & Compliance,Explore,Owner 157,2,Q2 FY26,Analytics & Reporting,41730,Exec sponsor confirm,2026-01-19,2026-01-31,2026-02-18,,,,Company 31,Parent Account 175,CTO,,No,Yes,Reg risk,,Strong roadmap,Competitor C,Consulting Co,Security posture
OPP-FY26-0032,LAC,SMB,Company 32 - DevOps & Automation,Prove,Owner 6,2,Q1 FY26,Analytics & Reporting,181928,Procurement alignment,2025-11-20,,2026-01-19,,,,Company 32,Parent Account 71,CIO,Yes,No,No,Legacy expensive,,Best fit,Competitor B,Partner X,Visibility
OPP-FY26-0033,NORAM,Mid-Market,Company 33 - Analytics & Reporting,Commit,Owner 94,3,Q1 FY26,Customer 360 View,59391,Implementation plan,2025-10-09,,,2025-12-25,,,Company 33,Parent Account 70,,No,No,No,Reg risk,Budget expires FY,Best fit,Internal Build,None,
OPP-FY26-0034,GP&A,SMB,Company 34 - Cloud Cost Optimization,Commit,Owner 60,3,Q1 FY26,AI/ML Enablement,31741,Implementation plan,2025-10-04,2025-10-23,2025-11-29,2025-12-09,,,Company 34,Parent Account 144,VP Eng,Yes,No,No,,,,Competitor B,None,Reduce Ops
OPP-FY26-0035,GP&A,Enterprise,Company 35 - Analytics & Reporting,Prove,Owner 158,2,Q2 FY26,AI/ML Enablement,98078,,2026-03-21,2026-04-27,2026-05-26,,,,Company 35,,,,No,,Does not scale,,,Competitor A,Consulting Co,Visibility
OPP-FY26-0036,NORAM,Mid-Market,Company 36 - Data Platform Modernization,Explore,Owner 153,4,Q1 FY26,Cloud Cost Optimization,28781,,2025-10-06,2025-10-12,,2025-11-23,300,,Company 36,Parent Account 38,CTO,,,No,Legacy expensive,,,Internal Build,None,Visibility
OPP-FY26-0037,LAC,SMB,Company 37 - AI/ML Enablement,Commit,Owner 8,3,Q2 FY26,Cloud Cost Optimization,67867,,2026-01-23,,2026-03-25,2026-05-04,,,Company 37,,Cloud Arch,Yes,,Yes,,Exec mandate,Strong roadmap,Status Quo,None,Security posture
OPP-FY26-0038,NORAM,Strategic Accounts,Company 38 - Data Platform Modernization,Prove,Owner 103,4,Q2 FY26,AI/ML Enablement,18475,Procurement alignment,2026-01-19,2026-01-28,2026-02-07,2026-03-23,147,,Company 38,,VP Eng,No,Yes,,,Renewal soon,Strong roadmap,Status Quo,Partner X,Security posture
OPP-FY26-0039,LAC,Mid-Market,Company 39 - Security & Compliance,Commit,Owner 124,3,Q1 FY26,Security & Compliance,26986,,2025-12-30,2026-02-13,2026-03-15,2026-03-21,,,Company 39,,VP Eng,,No,No,Fragmented tools,,Strong roadmap,Competitor C,GSII,
OPP-FY26-0040,APAC,Enterprise,Company 40 - DevOps & Automation,Commit,Owner 56,1,Q2 FY26,AI/ML Enablement,67380,,2026-02-22,2026-04-08,,,,,Company 40,Parent Account 88,CTO,No,Yes,,Fragmented tools,Exec mandate,References match,Internal Build,Consulting Co,
OPP-FY26-0041,GP&A,Public Sector,Company 41 - Cloud Cost Optimization,Explore,Owner 53,4,Q1 FY26,Data Platform Modernization,93253,,2025-10-30,2025-11-24,2025-12-24,2026-01-03,249,,Company 41,,,No,,,Reg risk,Budget expires FY,,Competitor A,Consulting Co,Visibility
OPP-FY26-0042,LAC,Strategic Accounts,Company 42 - DevOps & Automation,Commit,Owner 107,0,Q3 FY26,Data Platform Modernization,66358,POC run,2026-05-09,,,,,,Company 42,Parent Account 6,,No,,,Reg risk,M&A drive,,Competitor B,Partner X,Visibility
OPP-FY26-0043,NORAM,Mid-Market,Company 43 - Cloud Cost Optimization,Explore,Owner 66,1,Q3 FY26,Security & Compliance,55860,POC run,2026-05-20,2026-06-14,,,,,Company 43,Parent Account 40,Cloud Arch,,No,No,Does not scale,,Low TCO,Competitor C,GSII,Visibility
OPP-FY26-0044,APAC,SMB,Company 44 - Analytics & Reporting,Prove,Owner 20,0,Q1 FY26,DevOps & Automation,49977,Procurement alignment,2025-12-19,,,,,,Company 44,,,No,Yes,Yes,Reg risk,Renewal soon,Strong roadmap,Competitor A,None,
OPP-FY26-0045,EMEA,Public Sector,Company 45 - Cloud Cost Optimization,Commit,Owner 166,3,Q2 FY26,Data Platform Modernization,24658,POC run,2026-01-21,,2026-04-03,2026-05-15,,,Company 45,Parent Account 25,Head of Data,No,,Yes,Does not scale,,,Internal Build,GSII,Reduce Ops
OPP-FY26-0046,GP&A,Mid-Market,Company 46 - Security & Compliance,Explore,Owner 40,4,Q1 FY26,Cloud Cost Optimization,38874,Proposal review,2025-10-24,2025-12-07,2026-01-21,,187,,Company 46,Parent Account 26,Head of Data,Yes,Yes,,Legacy expensive,Renewal soon,Best fit,Status Quo,GSII,
OPP-FY26-0047,LAC,Strategic Accounts,Company 47 - AI/ML Enablement,Prove,Owner 200,1,Q1 FY26,AI/ML Enablement,45415,Proposal review,2025-12-19,2026-01-21,,,,,Company 47,Parent Account 108,CTO,Yes,Yes,No,Fragmented tools,,,Status Quo,Partner Y,
OPP-FY26-0048,GP&A,Enterprise,Company 48 - AI/ML Enablement,Commit,Owner 96,1,Q3 FY26,Security & Compliance,112901,POC run,2026-04-28,2026-05-29,,,,,Company 48,Parent Account 21,VP Eng,No,No,,Reg risk,Budget expires FY,References match,Competitor A,Partner X,
OPP-FY26-0049,EMEA,Mid-Market,Company 49 - Data Platform Modernization,Explore,Owner 13,1,Q2 FY26,Security & Compliance,73583,Exec sponsor confirm,2026-02-18,2026-03-31,,,,,Company 49,Parent Account 160,,No,Yes,Yes,Does not scale,,,Competitor A,None,
OPP-FY26-0050,APAC,SMB,Company 50 - Analytics & Reporting,Explore,Owner 89,4,Q2 FY26,Security & Compliance,20788,POC run,2026-02-17,2026-03-24,2026-04-28,2026-06-05,113,,Company 50,,,,No,Yes,Reg risk,M&A drive,,Internal Build,Partner X,
OPP-FY26-0051,LAC,Strategic Accounts,Company 51 - Analytics & Reporting,Commit,Owner 122,1,Q3 FY26,Data Platform Modernization,72725,POC run,2026-05-15,2026-05-20,,,,,Company 51,Parent Account 166,CTO,Yes,,No,Reg risk,,Best fit,Internal Build,GSII,Security posture
OPP-FY26-0052,EMEA,SMB,Company 52 - AI/ML Enablement,Commit,Owner 184,3,Q1 FY26,AI/ML Enablement,47522,Deep dive,2025-10-21,2025-11-20,2025-12-31,2026-01-14,,,Company 52,Parent Account 114,VP Eng,No,,,Reg risk,Budget expires FY,Best fit,Internal Build,Partner X,
OPP-FY26-0053,EMEA,SMB,Company 53 - AI/ML Enablement,Explore,Owner 147,2,Q2 FY26,Security & Compliance,39888,Proposal review,2026-01-01,,2026-03-08,,,,Company 53,Parent Account 102,VP Eng,Yes,Yes,No,,Exec mandate,Best fit,Competitor C,Consulting Co,
OPP-FY26-0054,GP&A,Enterprise,Company 54 - Analytics & Reporting,Commit,Owner 82,0,Q2 FY26,DevOps & Automation,86422,Proposal review,2026-01-24,,,,,,Company 54,Parent Account 17,Head of Data,No,Yes,,Legacy expensive,Budget expires FY,Low TCO,Status Quo,GSII,Faster release
OPP-FY26-0055,LAC,Enterprise,Company 55 - Security & Compliance,Prove,Owner 165,4,Q1 FY26,Cloud Cost Optimization,111145,Procurement alignment,2025-11-03,2025-12-15,2025-12-23,2025-12-30,252,,Company 55,Parent Account 175,Head of Data,Yes,Yes,Yes,,,,Status Quo,GSII,
OPP-FY26-0056,LAC,Public Sector,Company 56 - Data Platform Modernization,Commit,Owner 11,4,Q1 FY26,Analytics & Reporting,104690,,2025-12-10,2025-12-21,2026-02-02,,176,,Company 56,,,No,No,Yes,Does not scale,Exec mandate,,Competitor A,Partner X,Reduce Ops
OPP-FY26-0057,EMEA,Strategic Accounts,Company 57 - Security & Compliance,Prove,Owner 132,3,Q2 FY26,Customer 360 View,36187,POC run,2026-01-27,,2026-03-08,2026-04-18,,,Company 57,Parent Account 62,,,,No,,Budget expires FY,,Competitor B,Consulting Co,Faster release
OPP-FY26-0058,NORAM,Mid-Market,Company 58 - Customer 360 View,Prove,Owner 13,2,Q2 FY26,Cloud Cost Optimization,49735,Exec sponsor confirm,2026-02-05,2026-02-09,2026-02-17,,,,Company 58,Parent Account 153,Cloud Arch,No,Yes,,Does not scale,M&A drive,,Status Quo,Partner Y,Security posture
OPP-FY26-0059,LAC,SMB,Company 59 - Analytics & Reporting,Commit,Owner 175,0,Q2 FY26,Customer 360 View,73039,Exec sponsor confirm,2026-01-07,,,,,,Company 59,Parent Account 25,Director IT,No,No,Yes,Reg risk,,Strong roadmap,Status Quo,Consulting Co,Reduce Ops
OPP-FY26-0060,LAC,Public Sector,Company 60 - AI/ML Enablement,Commit,Owner 145,4,Q1 FY26,Data Platform Modernization,107508,Exec sponsor confirm,2025-11-05,2025-11-28,2026-01-09,2026-02-01,228,,Company 60,Parent Account 5,VP Eng,Yes,No,Yes,Does not scale,Budget expires FY,,Status Quo,Consulting Co,Reduce Ops
OPP-FY26-0061,APAC,Strategic Accounts,Company 61 - Data Platform Modernization,Prove,Owner 39,1,Q1 FY26,AI/ML Enablement,44913,,2025-10-09,2025-11-17,,,,,Company 61,Parent Account 106,Head of Data,No,Yes,Yes,Reg risk,Exec mandate,References match,Competitor C,None,Security posture
OPP-FY26-0062,NORAM,SMB,Company 62 - Analytics & Reporting,Prove,Owner 181,2,Q2 FY26,Security & Compliance,53562,POC run,2026-03-06,2026-04-08,2026-04-23,,,,Company 62,Parent Account 126,VP Eng,No,No,No,,Exec mandate,,Internal Build,GSII,
OPP-FY26-0063,NORAM,Mid-Market,Company 63 - Cloud Cost Optimization,Explore,Owner 106,4,Q1 FY26,Data Platform Modernization,30828,Implementation plan,2025-12-09,2026-01-16,2026-02-05,,217,,Company 63,,CIO,,Yes,No,Legacy expensive,,Low TCO,Competitor A,None,Reduce Ops
OPP-FY26-0064,NORAM,Enterprise,Company 64 - Analytics & Reporting,Prove,Owner 127,0,Q3 FY26,Security & Compliance,29210,Proposal review,2026-05-22,,,,,,Company 64,,Cloud Arch,,Yes,,Reg risk,Budget expires FY,,Competitor A,GSII,Reduce Ops
OPP-FY26-0065,NORAM,Mid-Market,Company 65 - Customer 360 View,Commit,Owner 104,2,Q3 FY26,Analytics & Reporting,97491,POC run,2026-04-02,2026-04-16,2026-04-19,,,,Company 65,Parent Account 84,CIO,,Yes,,,Exec mandate,Strong roadmap,Status Quo,Partner X,Security posture
OPP-FY26-0066,NORAM,Strategic Accounts,Company 66 - DevOps & Automation,Commit,Owner 181,1,Q1 FY26,Analytics & Reporting,135096,Deep dive,2025-10-16,2025-11-30,,,,,Company 66,Parent Account 31,Infra Lead,No,,Yes,Reg risk,Exec mandate,References match,Competitor B,Partner Y,Visibility
OPP-FY26-0067,NORAM,SMB,Company 67 - Analytics & Reporting,Commit,Owner 114,4,Q2 FY26,Cloud Cost Optimization,57342,Exec sponsor confirm,2026-03-30,,2026-05-02,2026-06-10,102,,Company 67,Parent Account 184,Head of Data,No,,No,Fragmented tools,Exec mandate,,Competitor A,Partner Y,
OPP-FY26-0068,GP&A,Enterprise,Company 68 - Data Platform Modernization,Prove,Owner 47,2,Q2 FY26,Analytics & Reporting,109329,Deep dive,2026-03-29,2026-04-05,2026-05-12,,,,Company 68,Parent Account 165,Infra Lead,No,No,No,Legacy expensive,,References match,Competitor B,Partner X,Visibility
OPP-FY26-0069,EMEA,Mid-Market,Company 69 - DevOps & Automation,Explore,Owner 9,3,Q2 FY26,Analytics & Reporting,74382,Procurement alignment,2026-03-22,2026-04-28,,2026-07-04,,,Company 69,Parent Account 158,Cloud Arch,,,Yes,,Renewal soon,Best fit,Competitor A,Partner Y,
OPP-FY26-0070,EMEA,Enterprise,Company 70 - Customer 360 View,Commit,Owner 189,4,Q1 FY26,Security & Compliance,40657,Proposal review,2025-12-21,2026-01-29,,2026-04-03,162,,Company 70,Parent Account 110,Head of Data,No,No,No,,,,Competitor B,GSII,Reduce Ops
OPP-FY26-0071,LAC,Public Sector,Company 71 - Security & Compliance,Prove,Owner 63,0,Q2 FY26,Data Platform Modernization,74372,Procurement alignment,2026-02-21,,,,,,Company 71,Parent Account 166,CIO,,,No,Fragmented tools,Budget expires FY,Best fit,Competitor C,GSII,
OPP-FY26-0072,GP&A,Mid-Market,Company 72 - DevOps & Automation,Commit,Owner 181,1,Q3 FY26,Security & Compliance,150666,Implementation plan,2026-04-08,2026-04-18,,,,,Company 72,Parent Account 62,Head of Data,No,,No,Reg risk,M&A drive,Strong roadmap,Competitor C,GSII,
OPP-FY26-0073,LAC,Public Sector,Company 73 - DevOps & Automation,Prove,Owner 76,1,Q3 FY26,Security & Compliance,58600,Deep dive,2026-04-08,2026-04-20,,,,,Company 73,Parent Account 59,Director IT,Yes,,No,Reg risk,,,Status Quo,Partner X,Visibility
OPP-FY26-0074,APAC,Strategic Accounts,Company 74 - Security & Compliance,Commit,Owner 60,0,Q3 FY26,Cloud Cost Optimization,153090,,2026-05-30,,,,,,Company 74,,CIO,No,No,,,Exec mandate,,Internal Build,Partner Y,Visibility
OPP-FY26-0075,GP&A,Strategic Accounts,Company 75 - Customer 360 View,Explore,Owner 179,4,Q1 FY26,Security & Compliance,12433,Deep dive,2025-11-08,,2025-12-11,2026-01-22,215,,Company 75,Parent Account 21,Infra Lead,,No,,Fragmented tools,Renewal soon,References match,Competitor C,None,Visibility
OPP-FY26-0076,LAC,Strategic Accounts,Company 76 - Data Platform Modernization,Explore,Owner 20,0,Q1 FY26,DevOps & Automation,98041,Proposal review,2025-11-28,,,,,,Company 76,,Head of Data,,,Yes,Reg risk,,Best fit,Internal Build,None,Security posture
OPP-FY26-0077,EMEA,Enterprise,Company 77 - Cloud Cost Optimization,Prove,Owner 60,1,Q3 FY26,Analytics & Reporting,63084,Exec sponsor confirm,2026-04-21,2026-04-29,,,,,Company 77,Parent Account 155,Cloud Arch,No,,No,Reg risk,Exec mandate,References match,Status Quo,Consulting Co,Visibility
OPP-FY26-0078,NORAM,Strategic Accounts,Company 78 - Data Platform Modernization,Prove,Owner 28,2,Q3 FY26,Cloud Cost Optimization,50040,Proposal review,2026-04-23,,2026-05-18,,,,Company 78,Parent Account 79,Director IT,,,No,,Renewal soon,Low TCO,Competitor C,Consulting Co,
OPP-FY26-0079,EMEA,SMB,Company 79 - Data Platform Modernization,Prove,Owner 38,3,Q3 FY26,Cloud Cost Optimization,63263,,2026-04-18,2026-04-26,,2026-06-21,,,Company 79,Parent Account 71,Director IT,Yes,Yes,No,Legacy expensive,,,Status Quo,Consulting Co,Security posture
OPP-FY26-0080,EMEA,Mid-Market,Company 80 - AI/ML Enablement,Prove,Owner 75,3,Q3 FY26,DevOps & Automation,18168,,2026-04-27,2026-06-10,2026-07-21,2026-08-01,,,Company 80,Parent Account 126,Head of Data,No,No,Yes,Legacy expensive,Renewal soon,References match,Competitor B,Consulting Co,Security posture
OPP-FY26-0081,NORAM,SMB,Company 81 - Security & Compliance,Prove,Owner 169,0,Q3 FY26,Security & Compliance,52480,Procurement alignment,2026-04-28,,,,,,Company 81,,Cloud Arch,No,No,No,Does not scale,,Best fit,Competitor C,Partner Y,Visibility
OPP-FY26-0082,LAC,Public Sector,Company 82 - DevOps & Automation,Commit,Owner 57,3,Q3 FY26,AI/ML Enablement,74181,Exec sponsor confirm,2026-04-11,,,2026-06-13,,,Company 82,Parent Account 119,Cloud Arch,Yes,Yes,No,,,Strong roadmap,Competitor B,None,Faster release
OPP-FY26-0083,EMEA,Enterprise,Company 83 - Data Platform Modernization,Explore,Owner 182,0,Q2 FY26,Cloud Cost Optimization,145326,Implementation plan,2026-01-21,,,,,,Company 83,Parent Account 88,,Yes,Yes,Yes,Reg risk,Budget expires FY,,Internal Build,Consulting Co,Visibility
OPP-FY26-0084,NORAM,Mid-Market,Company 84 - Data Platform Modernization,Commit,Owner 17,1,Q2 FY26,Customer 360 View,43872,Procurement alignment,2026-01-24,2026-03-05,,,,,Company 84,Parent Account 138,CTO,Yes,No,No,Does not scale,M&A drive,Strong roadmap,Internal Build,None,Reduce Ops
OPP-FY26-0085,NORAM,SMB,Company 85 - Cloud Cost Optimization,Explore,Owner 96,2,Q3 FY26,DevOps & Automation,36860,Proposal review,2026-05-24,,2026-08-14,,,,Company 85,Parent Account 100,Director IT,No,No,Yes,,,References match,Competitor C,Partner X,
OPP-FY26-0086,GP&A,Mid-Market,Company 86 - Cloud Cost Optimization,Commit,Owner 8,3,Q2 FY26,Analytics & Reporting,44309,Implementation plan,2026-02-21,2026-03-28,2026-05-11,2026-06-14,,,Company 86,,,Yes,Yes,No,Fragmented tools,Exec mandate,Strong roadmap,Competitor A,Consulting Co,Reduce Ops
OPP-FY26-0087,EMEA,Enterprise,Company 87 - AI/ML Enablement,Prove,Owner 90,0,Q3 FY26,Analytics & Reporting,103698,Implementation plan,2026-04-07,,,,,,Company 87,,Director IT,Yes,,No,,Budget expires FY,Best fit,Status Quo,GSII,Security posture
OPP-FY26-0088,LAC,Enterprise,Company 88 - Security & Compliance,Prove,Owner 16,1,Q1 FY26,Data Platform Modernization,72929,POC run,2025-12-22,2026-01-12,,,,,Company 88,,CTO,,No,No,Does not scale,M&A drive,Low TCO,Competitor C,GSII,Faster release
OPP-FY26-0089,EMEA,Enterprise,Company 89 - Analytics & Reporting,Commit,Owner 102,2,Q2 FY26,Security & Compliance,43570,Procurement alignment,2026-02-26,2026-03-01,2026-03-09,,,,Company 89,,Cloud Arch,No,,Yes,Reg risk,,,Competitor B,Consulting Co,
OPP-FY26-0090,EMEA,SMB,Company 90 - Cloud Cost Optimization,Prove,Owner 171,3,Q1 FY26,DevOps & Automation,81467,,2025-11-21,,2026-01-15,2026-02-06,,,Company 90,Parent Account 102,Infra Lead,Yes,Yes,,,Budget expires FY,,Competitor C,Partner X,Faster release
OPP-FY26-0091,EMEA,Mid-Market,Company 91 - AI/ML Enablement,Explore,Owner 165,3,Q1 FY26,DevOps & Automation,63465,POC run,2025-10-19,2025-11-05,,2025-12-10,,,Company 91,Parent Account 136,,Yes,Yes,Yes,Reg risk,Renewal soon,Best fit,Status Quo,Consulting Co,Security posture
