opportunity number,region,Sales Team,Opportunity Name,epc phase,opportunity owner,Stage,Fiscal Period,Use Case,ACV ($),Next Steps,date in stage 0,date in Stage 1,Date in Stage 2,date in stage 3,days in stage 4,date in stage 5,account name,account grouping,contact title,Budget approved,Compelling event established,Close plan agreed,Why Anything?,Why Now?,Why us as a vendor?,Competitor,Partner,customer Need for our solution
OPP-HIST-00022,APAC,Strategic Accounts,Company 1022 - DevOps & Automation,Prove,Owner 109,Closed Won,Q3 FY24,Customer 360 View,87583,Proposal review,2024-05-28,2024-06-13,2024-06-22,2024-07-06,19,2024-08-10,Company 1022,Parent Account 135,Cloud Arch,,No,Yes,Reg risk,,References match,Status Quo,None,Reduce Ops
OPP-HIST-00023,LAC,Public Sector,Company 1023 - DevOps & Automation,Explore,Owner 75,Closed Lost,Q2 FY24,Customer 360 View,37652,Deep dive,2024-03-14,2024-04-09,2024-05-21,2024-05-31,9,2024-06-15,Company 1023,Parent Account 5,Infra Lead,No,Yes,No,Reg risk,Exec mandate,,Status Quo,GSII,Reduce Ops
OPP-HIST-00024,NORAM,Mid-Market,Company 1024 - Security & Compliance,Explore,Owner 48,Closed Won,Q2 FY24,Data Platform Modernization,89269,Exec sponsor confirm,2024-01-07,2024-02-19,,2024-04-16,24,2024-05-22,Company 1024,,Cloud Arch,No,Yes,Yes,,Renewal soon,References match,Competitor A,Consulting Co,Reduce Ops
OPP-HIST-00025,LAC,Enterprise,Company 1025 - Analytics & Reporting,Prove,Owner 1,Closed Lost,Q3 FY24,AI/ML Enablement,35091,,2024-05-29,2024-06-15,2024-07-21,2024-08-31,,2024-09-25,Company 1025,,CIO,No,Yes,No,Legacy expensive,,References match,Competitor C,Consulting Co,Visibility
OPP-HIST-00026,NORAM,SMB,Company 1026 - AI/ML Enablement,Commit,Owner 39,Closed Won,Q2 FY24,Customer 360 View,16925,Deep dive,2024-02-21,2024-03-25,2024-04-24,2024-05-03,15,2024-05-30,Company 1026,,VP Eng,No,Yes,Yes,,M&A drive,,Competitor A,Partner X,Faster release
OPP-HIST-00027,LAC,Enterprise,Company 1027 - Analytics & Reporting,Commit,Owner 83,Closed Won,Q2 FY24,AI/ML Enablement,19162,Deep dive,2024-03-20,2024-04-04,2024-05-16,,6,2024-06-19,Company 1027,Parent Account 46,Cloud Arch,Yes,No,,,,References match,Status Quo,GSII,
OPP-HIST-00028,GP&A,Strategic Accounts,Company 1028 - Cloud Cost Optimization,Explore,Owner 145,Closed Won,Q2 FY25,Analytics & Reporting,61923,Procurement alignment,2025-01-23,2025-02-03,2025-03-03,2025-04-01,,2025-05-27,Company 1028,,CIO,,,,Legacy expensive,Exec mandate,,Internal Build,Partner X,Faster release
OPP-HIST-00029,EMEA,Mid-Market,Company 1029 - AI/ML Enablement,Prove,Owner 140,Closed Lost,Q1 FY24,AI/ML Enablement,71811,Exec sponsor confirm,2023-10-03,,2023-11-01,,41,2023-12-29,Company 1029,Parent Account 56,,No,Yes,Yes,,,Low TCO,Competitor A,Consulting Co,Security posture
OPP-HIST-00030,NORAM,Mid-Market,Company 1030 - Cloud Cost Optimization,Explore,Owner 42,Closed Won,Q2 FY24,AI/ML Enablement,31792,Procurement alignment,2024-01-24,2024-02-09,2024-02-28,2024-03-08,33,2024-05-08,Company 1030,,Head of Data,,,,Does not scale,M&A drive,,Internal Build,Partner Y,Reduce Ops
OPP-HIST-00031,GP&A,Strategic Accounts,Company 1031 - DevOps & Automation,Explore,Owner 117,Closed Lost,Q1 FY25,DevOps & Automation,93621,Implementation plan,2024-11-15,,2025-01-14,2025-02-12,,2025-03-12,Company 1031,Parent Account 128,CTO,Yes,Yes,Yes,,,Strong roadmap,Competitor B,Partner X,Faster release
OPP-HIST-00032,LAC,Mid-Market,Company 1032 - Data Platform Modernization,Commit,Owner 102,Closed Lost,Q1 FY25,Analytics & Reporting,18712,,2024-10-04,2024-10-28,,,19,2025-02-01,Company 1032,Parent Account 11,Head of Data,No,No,Yes,Legacy expensive,Renewal soon,Low TCO,Competitor B,None,Faster release
OPP-HIST-00033,APAC,SMB,Company 1033 - Data Platform Modernization,Prove,Owner 161,Closed Lost,Q2 FY25,Analytics & Reporting,57167,Exec sponsor confirm,2025-03-27,,2025-05-20,2025-06-10,11,2025-08-04,Company 1033,,CIO,,,No,,,,Competitor A,None,Visibility
OPP-HIST-00034,NORAM,Mid-Market,Company 1034 - Data Platform Modernization,Commit,Owner 148,Closed Won,Q2 FY25,AI/ML Enablement,25649,Procurement alignment,2025-01-27,2025-03-02,2025-04-13,2025-05-20,27,2025-07-20,Company 1034,,CIO,No,Yes,Yes,Legacy expensive,Exec mandate,Strong roadmap,Internal Build,Consulting Co,Security posture
OPP-HIST-00035,LAC,Strategic Accounts,Company 1035 - Security & Compliance,Explore,Owner 91,Closed Lost,Q1 FY25,Security & Compliance,37938,Exec sponsor confirm,2024-10-08,2024-10-18,2024-10-31,2024-11-20,,2025-01-10,Company 1035,Parent Account 163,CTO,No,Yes,Yes,Fragmented tools,,,Competitor C,Consulting Co,Reduce Ops
OPP-HIST-00036,LAC,Enterprise,Company 1036 - Customer 360 View,Commit,Owner 101,Closed Lost,Q1 FY24,Data Platform Modernization,61894,,2023-11-12,2023-12-21,,2024-01-31,17,2024-03-28,Company 1036,Parent Account 166,Director IT,No,,No,Does not scale,,Strong roadmap,Competitor A,None,Visibility
OPP-HIST-00037,EMEA,Mid-Market,Company 1037 - AI/ML Enablement,Prove,Owner 23,Closed Lost,Q2 FY24,Data Platform Modernization,32784,,2024-02-01,2024-03-13,2024-04-15,2024-04-28,,2024-05-19,Company 1037,Parent Account 84,Cloud Arch,Yes,Yes,Yes,Reg risk,,References match,Competitor C,Partner X,Visibility
OPP-HIST-00038,LAC,Strategic Accounts,Company 1038 - Customer 360 View,Explore,Owner 155,Closed Won,Q3 FY24,Analytics & Reporting,45743,Deep dive,2024-05-04,,2024-06-29,2024-07-08,8,2024-08-06,Company 1038,Parent Account 70,,No,Yes,No,Does not scale,M&A drive,References match,Competitor C,GSII,
OPP-HIST-00039,LAC,SMB,Company 1039 - Security & Compliance,Commit,Owner 33,Closed Lost,Q2 FY25,Customer 360 View,121104,POC run,2025-02-08,2025-03-04,2025-04-18,2025-05-08,43,2025-07-27,Company 1039,,CIO,No,,Yes,,Exec mandate,Best fit,Competitor B,Partner X,
OPP-HIST-00040,NORAM,Enterprise,Company 1040 - Data Platform Modernization,Prove,Owner 73,Closed Lost,Q3 FY25,AI/ML Enablement,39981,Implementation plan,2025-05-15,,2025-06-17,,,2025-08-02,Company 1040,Parent Account 184,,Yes,No,No,Legacy expensive,Budget expires FY,Best fit,Competitor C,Partner Y,Visibility
OPP-HIST-00041,APAC,Enterprise,Company 1041 - AI/ML Enablement,Commit,Owner 3,Closed Won,Q1 FY25,Customer 360 View,107471,Implementation plan,2024-11-14,,2024-12-30,2025-01-10,7,2025-02-01,Company 1041,Parent Account 68,Director IT,No,Yes,No,Fragmented tools,Budget expires FY,Strong roadmap,Competitor C,GSII,Security posture
OPP-HIST-00042,LAC,Mid-Market,Company 1042 - DevOps & Automation,Explore,Owner 101,Closed Won,Q1 FY24,Customer 360 View,27151,Implementation plan,2023-11-04,,,2024-01-21,23,2024-02-18,Company 1042,,Infra Lead,Yes,,,Legacy expensive,Budget expires FY,Low TCO,Competitor B,Partner Y,Reduce Ops
OPP-HIST-00043,EMEA,Mid-Market,Company 1043 - Analytics & Reporting,Commit,Owner 139,Closed Won,Q3 FY25,Data Platform Modernization,86756,Proposal review,2025-06-02,,2025-07-11,2025-08-03,,2025-09-25,Company 1043,Parent Account 79,VP Eng,No,No,,,Renewal soon,Strong roadmap,Status Quo,Consulting Co,
OPP-HIST-00044,LAC,Strategic Accounts,Company 1044 - DevOps & Automation,Explore,Owner 55,Closed Lost,Q3 FY24,DevOps & Automation,164242,Exec sponsor confirm,2024-04-29,,,,,2024-09-03,Company 1044,,,,Yes,,Does not scale,Renewal soon,,Competitor A,GSII,Faster release
OPP-HIST-00045,EMEA,Mid-Market,Company 1045 - Security & Compliance,Commit,Owner 137,Closed Lost,Q3 FY25,Cloud Cost Optimization,10613,POC run,2025-05-15,2025-06-16,2025-07-22,2025-08-26,-5,2025-09-25,Company 1045,,Cloud Arch,Yes,No,Yes,Fragmented tools,,Low TCO,Competitor B,Partner Y,
OPP-HIST-00046,LAC,Mid-Market,Company 1046 - Cloud Cost Optimization,Commit,Owner 107,Closed Lost,Q2 FY24,Cloud Cost Optimization,34275,,2024-02-25,,,,4,2024-07-01,Company 1046,Parent Account 152,,,Yes,,,M&A drive,,Status Quo,Partner X,
OPP-HIST-00047,NORAM,Public Sector,Company 1047 - DevOps & Automation,Commit,Owner 55,Closed Won,Q1 FY24,Data Platform Modernization,89675,Procurement alignment,2023-11-03,2023-11-17,2023-11-22,2023-12-02,5,2024-01-18,Company 1047,Parent Account 111,Director IT,Yes,No,No,,,,Status Quo,Consulting Co,Reduce Ops
OPP-HIST-00048,EMEA,Strategic Accounts,Company 1048 - Analytics & Reporting,Explore,Owner 190,Closed Won,Q2 FY25,Analytics & Reporting,51941,Implementation plan,2025-02-25,,,2025-05-15,41,2025-07-07,Company 1048,,Infra Lead,,No,,,,Strong roadmap,Status Quo,GSII,Faster release
OPP-HIST-00049,NORAM,Public Sector,Company 1049 - AI/ML Enablement,Prove,Owner 16,Closed Won,Q1 FY25,Customer 360 View,77637,,2024-11-24,,2024-12-17,,,2025-01-09,Company 1049,Parent Account 114,Infra Lead,Yes,Yes,,Does not scale,Renewal soon,Strong roadmap,Competitor B,Partner X,Reduce Ops
OPP-HIST-00050,GP&A,SMB,Company 1050 - Customer 360 View,Explore,Owner 95,Closed Lost,Q1 FY25,Customer 360 View,39230,Implementation plan,2024-10-09,2024-10-27,2024-11-02,2024-11-12,42,2024-12-28,Company 1050,Parent Account 90,VP Eng,Yes,No,,Does not scale,,Low TCO,Status Quo,Partner X,
OPP-HIST-00051,APAC,Public Sector,Company 1051 - Cloud Cost Optimization,Commit,Owner 172,Closed Lost,Q3 FY25,AI/ML Enablement,63615,,2025-04-07,2025-05-06,2025-06-13,,,2025-08-09,Company 1051,Parent Account 152,CIO,Yes,Yes,Yes,Reg risk,,Best fit,Competitor A,GSII,Security posture
OPP-HIST-00052,EMEA,Strategic Accounts,Company 1052 - AI/ML Enablement,Commit,Owner 110,Closed Lost,Q2 FY25,AI/ML Enablement,53692,Exec sponsor confirm,2025-02-03,2025-02-25,,2025-04-09,,2025-05-03,Company 1052,Parent Account 31,,Yes,Yes,Yes,Reg risk,M&A drive,References match,Competitor A,GSII,Visibility
OPP-HIST-00053,APAC,Enterprise,Company 1053 - Cloud Cost Optimization,Prove,Owner 151,Closed Lost,Q2 FY25,DevOps & Automation,135597,,2025-03-29,2025-05-01,2025-05-05,2025-05-10,20,2025-06-05,Company 1053,Parent Account 65,,No,Yes,No,,Renewal soon,,Status Quo,None,Visibility
OPP-HIST-00054,APAC,Strategic Accounts,Company 1054 - AI/ML Enablement,Commit,Owner 143,Closed Lost,Q3 FY24,Cloud Cost Optimization,71545,Exec sponsor confirm,2024-04-30,2024-06-10,2024-07-14,2024-08-11,,2024-09-25,Company 1054,Parent Account 98,,No,Yes,,Legacy expensive,,Strong roadmap,Competitor A,None,Faster release
OPP-HIST-00055,APAC,Enterprise,Company 1055 - AI/ML Enablement,Explore,Owner 41,Closed Won,Q3 FY24,DevOps & Automation,75835,Exec sponsor confirm,2024-04-28,,2024-05-30,2024-06-29,11,2024-08-24,Company 1055,,Infra Lead,Yes,No,,Reg risk,Exec mandate,Low TCO,Competitor A,None,Faster release
OPP-HIST-00056,APAC,Public Sector,Company 1056 - Security & Compliance,Explore,Owner 7,Closed Lost,Q1 FY24,Customer 360 View,44877,Exec sponsor confirm,2023-11-05,2023-11-18,2023-11-28,2023-12-29,36,2024-02-28,Company 1056,Parent Account 122,VP Eng,Yes,Yes,No,Does not scale,Renewal soon,Low TCO,Status Quo,Consulting Co,Security posture
OPP-HIST-00057,APAC,Public Sector,Company 1057 - Data Platform Modernization,Explore,Owner 183,Closed Won,Q2 FY25,Data Platform Modernization,42560,,2025-01-17,2025-02-24,2025-03-31,2025-04-12,28,2025-06-11,Company 1057,,CIO,,,,Does not scale,Budget expires FY,References match,Internal Build,None,
OPP-HIST-00058,GP&A,Public Sector,Company 1058 - Data Platform Modernization,Explore,Owner 17,Closed Lost,Q3 FY25,Cloud Cost Optimization,44232,,2025-05-15,2025-06-25,2025-07-24,2025-09-05,-1,2025-09-25,Company 1058,Parent Account 87,CIO,Yes,No,Yes,,,,Internal Build,None,Reduce Ops
OPP-HIST-00059,APAC,Mid-Market,Company 1059 - Analytics & Reporting,Explore,Owner 151,Closed Won,Q1 FY25,Data Platform Modernization,78914,,2024-11-05,2024-11-24,2024-12-22,2025-01-24,36,2025-03-13,Company 1059,Parent Account 154,Infra Lead,Yes,,No,Fragmented tools,,Strong roadmap,Status Quo,Partner X,Faster release
OPP-HIST-00060,EMEA,SMB,Company 1060 - Cloud Cost Optimization,Commit,Owner 107,Closed Lost,Q1 FY25,Analytics & Reporting,44592,Deep dive,2024-10-06,,,,34,2025-01-29,Company 1060,Parent Account 194,Infra Lead,Yes,Yes,Yes,Fragmented tools,M&A drive,,Competitor A,Consulting Co,Security posture
OPP-HIST-00061,NORAM,Public Sector,Company 1061 - AI/ML Enablement,Commit,Owner 159,Closed Lost,Q1 FY25,Data Platform Modernization,73338,Exec sponsor confirm,2024-10-27,2024-11-13,2024-12-06,2025-01-17,28,2025-02-28,Company 1061,,Director IT,Yes,No,,Legacy expensive,,References match,Competitor B,Consulting Co,Visibility
OPP-HIST-00062,NORAM,Enterprise,Company 1062 - Customer 360 View,Commit,Owner 67,Closed Lost,Q1 FY24,Data Platform Modernization,255961,Proposal review,2023-10-21,2023-11-20,2023-11-26,2023-12-13,37,2024-02-29,Company 1062,Parent Account 98,,Yes,No,No,,Exec mandate,References match,Competitor C,None,Faster release
OPP-HIST-00063,LAC,Strategic Accounts,Company 1063 - Analytics & Reporting,Prove,Owner 197,Closed Lost,Q1 FY24,Security & Compliance,110170,Exec sponsor confirm,2023-12-23,2024-01-22,2024-02-10,2024-02-23,22,2024-03-19,Company 1063,Parent Account 130,Cloud Arch,,,No,Legacy expensive,Budget expires FY,Strong roadmap,Competitor A,Partner X,Faster release
OPP-HIST-00064,GP&A,Strategic Accounts,Company 1064 - Data Platform Modernization,Prove,Owner 35,Closed Lost,Q1 FY25,Customer 360 View,47656,Procurement alignment,2024-12-28,2025-01-14,,,,2025-03-07,Company 1064,Parent Account 8,,No,,No,Reg risk,Renewal soon,,Status Quo,None,Faster release
OPP-HIST-00065,EMEA,Strategic Accounts,Company 1065 - Security & Compliance,Commit,Owner 105,Closed Lost,Q2 FY24,Analytics & Reporting,138808,Deep dive,2024-02-21,2024-03-03,2024-03-18,2024-03-26,39,2024-05-18,Company 1065,Parent Account 109,,Yes,,,Reg risk,M&A drive,References match,Status Quo,Partner X,Faster release
OPP-HIST-00066,EMEA,SMB,Company 1066 - Analytics & Reporting,Prove,Owner 13,Closed Won,Q2 FY25,DevOps & Automation,44996,Exec sponsor confirm,2025-03-12,2025-03-25,,2025-05-09,14,2025-06-27,Company 1066,,VP Eng,No,No,Yes,,,,Status Quo,None,Faster release
OPP-HIST-00067,NORAM,Public Sector,Company 1067 - Customer 360 View,Prove,Owner 176,Closed Won,Q3 FY25,Analytics & Reporting,14375,,2025-04-27,,,2025-07-06,16,2025-08-19,Company 1067,Parent Account 122,VP Eng,Yes,Yes,No,,,Best fit,Status Quo,None,Reduce Ops
OPP-HIST-00068,LAC,Enterprise,Company 1068 - Analytics & Reporting,Prove,Owner 89,Closed Won,Q1 FY25,Data Platform Modernization,29564,Procurement alignment,2024-12-24,2025-01-10,2025-02-01,2025-02-04,43,2025-03-24,Company 1068,Parent Account 172,VP Eng,,Yes,No,Reg risk,Budget expires FY,,Competitor C,Partner Y,
OPP-HIST-00069,LAC,Enterprise,Company 1069 - Data Platform Modernization,Prove,Owner 124,Closed Won,Q2 FY24,Analytics & Reporting,16162,Exec sponsor confirm,2024-02-06,2024-03-12,2024-04-26,2024-05-15,27,2024-07-18,Company 1069,Parent Account 71,Cloud Arch,Yes,,Yes,Reg risk,,Best fit,Competitor B,None,
OPP-HIST-00070,NORAM,Public Sector,Company 1070 - Analytics & Reporting,Commit,Owner 13,Closed Won,Q2 FY24,Security & Compliance,46814,Exec sponsor confirm,2024-02-23,2024-03-03,,2024-03-25,,2024-06-22,Company 1070,Parent Account 12,,Yes,,No,,Renewal soon,References match,Competitor A,Partner X,Visibility
OPP-HIST-00071,APAC,Strategic Accounts,Company 1071 - Data Platform Modernization,Prove,Owner 193,Closed Won,Q2 FY24,Security & Compliance,60651,Exec sponsor confirm,2024-01-07,,2024-02-05,,38,2024-04-07,Company 1071,Parent Account 105,Cloud Arch,No,,Yes,Fragmented tools,M&A drive,Low TCO,Competitor C,GSII,Faster release
OPP-HIST-00072,APAC,Enterprise,Company 1072 - DevOps & Automation,Explore,Owner 73,Closed Won,Q1 FY24,Analytics & Reporting,193591,POC run,2023-10-06,2023-10-11,,,27,2024-02-20,Company 1072,Parent Account 83,CIO,No,,Yes,Legacy expensive,,Best fit,Status Quo,None,
OPP-HIST-00073,GP&A,Public Sector,Company 1073 - Cloud Cost Optimization,Prove,Owner 8,Closed Lost,Q3 FY25,Analytics & Reporting,75270,Exec sponsor confirm,2025-04-19,2025-04-22,2025-05-28,2025-06-14,,2025-08-20,Company 1073,Parent Account 47,VP Eng,Yes,,,,Exec mandate,Best fit,Competitor C,Partner X,Visibility
OPP-HIST-00074,APAC,Mid-Market,Company 1074 - AI/ML Enablement,Prove,Owner 99,Closed Won,Q2 FY25,Analytics & Reporting,51360,Procurement alignment,2025-02-24,2025-03-22,2025-04-02,2025-04-09,26,2025-06-06,Company 1074,Parent Account 139,Infra Lead,Yes,No,No,,M&A drive,Low TCO,Competitor C,GSII,Security posture
OPP-HIST-00075,EMEA,Strategic Accounts,Company 1075 - Analytics & Reporting,Explore,Owner 182,Closed Won,Q2 FY24,DevOps & Automation,106999,,2024-02-19,2024-03-15,2024-04-05,,5,2024-06-09,Company 1075,Parent Account 162,Director IT,No,Yes,Yes,Does not scale,M&A drive,Best fit,Status Quo,GSII,
OPP-HIST-00076,LAC,SMB,Company 1076 - Cloud Cost Optimization,Prove,Owner 17,Closed Won,Q2 FY24,Analytics & Reporting,12736,Procurement alignment,2024-02-11,2024-03-26,,,19,2024-06-16,Company 1076,Parent Account 144,Infra Lead,,No,Yes,Fragmented tools,Renewal soon,,Competitor A,GSII,Reduce Ops
OPP-HIST-00077,GP&A,SMB,Company 1077 - DevOps & Automation,Commit,Owner 23,Closed Lost,Q2 FY25,Customer 360 View,70610,,2025-01-21,,,2025-03-18,5,2025-04-07,Company 1077,,Infra Lead,Yes,No,Yes,Reg risk,,References match,Internal Build,Partner X,Reduce Ops
OPP-HIST-00078,NORAM,Enterprise,Company 1078 - AI/ML Enablement,Prove,Owner 55,Closed Lost,Q1 FY24,AI/ML Enablement,102703,Exec sponsor confirm,2023-12-19,,,2024-02-18,5,2024-03-01,Company 1078,Parent Account 196,Cloud Arch,Yes,Yes,No,,M&A drive,Best fit,Competitor C,GSII,Reduce Ops
OPP-HIST-00079,APAC,Strategic Accounts,Company 1079 - Data Platform Modernization,Prove,Owner 159,Closed Lost,Q1 FY25,Data Platform Modernization,21268,Procurement alignment,2024-12-21,2025-01-07,2025-02-03,2025-03-18,,2025-05-07,Company 1079,Parent Account 102,CTO,Yes,Yes,No,,M&A drive,Strong roadmap,Status Quo,Partner X,
OPP-HIST-00080,APAC,Mid-Market,Company 1080 - Security & Compliance,Commit,Owner 7,Closed Lost,Q1 FY24,DevOps & Automation,133336,Procurement alignment,2023-10-26,2023-11-27,,2024-01-28,,2024-03-18,Company 1080,Parent Account 60,VP Eng,No,Yes,Yes,,Exec mandate,Strong roadmap,Competitor A,Partner X,Reduce Ops
OPP-HIST-00081,LAC,SMB,Company 1081 - AI/ML Enablement,Commit,Owner 159,Closed Lost,Q2 FY25,Cloud Cost Optimization,75882,Implementation plan,2025-03-29,,2025-04-12,,24,2025-06-08,Company 1081,Parent Account 12,Cloud Arch,No,Yes,Yes,Does not scale,Budget expires FY,,Internal Build,GSII,Reduce Ops
