opportunity number,field / event,Old value,New Value,edit date
OPP-HIST-00017,Next Steps,POC run - follow up (no change),Implementation plan,2024-06-13
OPP-HIST-00017,Next Steps,Implementation plan,Proposal review,2024-06-28
OPP-HIST-00017,Next Steps,Proposal review,Implementation plan,2024-07-02
OPP-HIST-00018,Next Steps,Proposal review,Exec sponsor confirm,2024-04-08
OPP-HIST-00018,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2024-05-06
OPP-HIST-00018,Next Steps,Exec sponsor confirm - minor,Proposal review,2024-06-06
OPP-HIST-00018,Next Steps,Proposal review,Proposal review - pending,2024-07-15
OPP-HIST-00019,Next Steps,POC run,Exec sponsor confirm,2024-12-18
OPP-HIST-00020,Next Steps,,POC run,2025-06-20
OPP-HIST-00020,Next Steps,POC run,POC run,2025-07-22
OPP-HIST-00020,Next Steps,POC run,POC run - minor,2025-08-11
OPP-HIST-00021,Next Steps,POC run,Exec sponsor confirm,2025-04-18
OPP-HIST-00021,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2025-05-01
OPP-HIST-00021,Next Steps,Exec sponsor confirm - follow up,Exec sponsor confirm - follow up (no change),2025-05-15
OPP-HIST-00023,Next Steps,Deep dive,Deep dive - update,2024-04-06
OPP-HIST-00023,Next Steps,Deep dive - update,Deep dive - update - pending,2024-04-17
OPP-HIST-00026,Next Steps,Deep dive,Deep dive - follow up,2024-03-10
OPP-HIST-00027,Next Steps,Deep dive,Deep dive (no change),2024-04-09
OPP-HIST-00027,Next Steps,Deep dive (no change),Deep dive (no change) - update,2024-04-15
OPP-HIST-00027,Next Steps,Deep dive (no change) - update,Deep dive (no change) - update - pending,2024-05-14
OPP-HIST-00027,Next Steps,Deep dive (no change) - update - pending,Deep dive (no change) - update - pending - follow up,2024-06-19
OPP-HIST-00028,Next Steps,Procurement alignment,Exec sponsor confirm,2025-01-28
OPP-HIST-00028,Next Steps,Exec sponsor confirm,POC run,2025-02-06
OPP-HIST-00028,Next Steps,POC run,POC run - update,2025-02-23
OPP-HIST-00031,Next Steps,Implementation plan,Deep dive,2024-12-24
OPP-HIST-00032,Next Steps,,Proposal review,2024-10-26
OPP-HIST-00032,Next Steps,Proposal review,Proposal review - minor,2024-11-01
OPP-HIST-00032,Next Steps,Proposal review - minor,Proposal review - minor - pending,2024-11-20
OPP-HIST-00032,Next Steps,Proposal review - minor - pending,Proposal review - minor - pending (no change),2024-12-03
OPP-HIST-00032,Next Steps,Proposal review - minor - pending (no change),Procurement alignment,2025-01-07
OPP-HIST-00034,Next Steps,Procurement alignment,Deep dive,2025-02-17
OPP-HIST-00034,Next Steps,Deep dive,Exec sponsor confirm,2025-03-04
OPP-HIST-00034,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2025-03-23
OPP-HIST-00036,Next Steps,,POC run,2023-12-13
OPP-HIST-00036,Next Steps,POC run,POC run (no change),2024-01-03
OPP-HIST-00039,Next Steps,POC run,POC run - pending,2025-03-01
OPP-HIST-00039,Next Steps,POC run - pending,Exec sponsor confirm,2025-03-05
OPP-HIST-00039,Next Steps,Exec sponsor confirm,Deep dive,2025-04-04
OPP-HIST-00039,Next Steps,Deep dive,Deep dive - follow up,2025-04-22
OPP-HIST-00040,Next Steps,Implementation plan,Exec sponsor confirm,2025-06-10
OPP-HIST-00040,Next Steps,Exec sponsor confirm,Procurement alignment,2025-07-04
OPP-HIST-00042,Next Steps,Implementation plan,Deep dive,2023-11-14
OPP-HIST-00043,Next Steps,Proposal review,Proposal review - minor,2025-06-11
OPP-HIST-00045,Next Steps,POC run,Implementation plan,2025-06-02
OPP-HIST-00045,Next Steps,Implementation plan,POC run,2025-07-05
OPP-HIST-00045,Next Steps,POC run,POC run - pending,2025-07-16
OPP-HIST-00046,Next Steps,,Implementation plan,2024-03-08
OPP-HIST-00047,Next Steps,Procurement alignment,Procurement alignment - minor,2023-11-26
OPP-HIST-00047,Next Steps,Procurement alignment - minor,Procurement alignment - minor (no change),2024-01-04
OPP-HIST-00048,Next Steps,Implementation plan,Implementation plan - pending,2025-03-15
OPP-HIST-00048,Next Steps,Implementation plan - pending,Implementation plan - pending - minor,2025-04-22
OPP-HIST-00049,Next Steps,,POC run,2024-11-28
OPP-HIST-00049,Next Steps,POC run,POC run - pending,2025-01-04
OPP-HIST-00049,Next Steps,POC run - pending,Procurement alignment,2025-01-07
OPP-HIST-00049,Next Steps,Procurement alignment,Procurement alignment - pending,2025-01-06
OPP-HIST-00049,Next Steps,Procurement alignment - pending,Procurement alignment,2025-01-09
OPP-HIST-00050,Next Steps,Implementation plan,Proposal review,2024-11-12
OPP-HIST-00050,Next Steps,Proposal review,Procurement alignment,2024-12-08
OPP-HIST-00050,Next Steps,Procurement alignment,Deep dive,2024-12-17
OPP-HIST-00052,Next Steps,Exec sponsor confirm,POC run,2025-03-12
OPP-HIST-00052,Next Steps,POC run,POC run (no change),2025-04-11
OPP-HIST-00052,Next Steps,POC run (no change),POC run (no change) (no change),2025-04-21
OPP-HIST-00054,Next Steps,Exec sponsor confirm,Procurement alignment,2024-05-25
OPP-HIST-00055,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2024-05-22
OPP-HIST-00055,Next Steps,Exec sponsor confirm - pending,Exec sponsor confirm - pending - follow up,2024-06-20
OPP-HIST-00055,Next Steps,Exec sponsor confirm - pending - follow up,Exec sponsor confirm - pending - follow up - minor,2024-07-29
OPP-HIST-00056,Next Steps,Exec sponsor confirm,POC run,2023-11-20
OPP-HIST-00056,Next Steps,POC run,Deep dive,2023-12-22
OPP-HIST-00056,Next Steps,Deep dive,Deep dive - follow up,2024-01-18
OPP-HIST-00056,Next Steps,Deep dive - follow up,Deep dive,2024-02-20
OPP-HIST-00056,Next Steps,Deep dive,Deep dive (no change),2024-02-26
OPP-HIST-00057,Next Steps,,Procurement alignment,2025-01-24
OPP-HIST-00057,Next Steps,Procurement alignment,Procurement alignment - minor,2025-02-14
OPP-HIST-00058,Next Steps,,Proposal review,2025-06-11
OPP-HIST-00058,Next Steps,Proposal review,Implementation plan,2025-07-09
OPP-HIST-00058,Next Steps,Implementation plan,Implementation plan (no change),2025-08-05
OPP-HIST-00061,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2024-11-09
OPP-HIST-00061,Next Steps,Exec sponsor confirm - pending,Exec sponsor confirm - pending - update,2024-12-01
OPP-HIST-00061,Next Steps,Exec sponsor confirm - pending - update,Procurement alignment,2025-01-04
OPP-HIST-00061,Next Steps,Procurement alignment,Deep dive,2025-01-18
OPP-HIST-00061,Next Steps,Deep dive,Deep dive - update,2025-02-12
OPP-HIST-00062,Next Steps,Proposal review,Proposal review (no change),2023-10-25
OPP-HIST-00064,Next Steps,Procurement alignment,Procurement alignment - pending,2025-01-28
OPP-HIST-00065,Next Steps,Deep dive,Deep dive (no change),2024-03-19
OPP-HIST-00065,Next Steps,Deep dive (no change),Deep dive (no change) (no change),2024-04-06
OPP-HIST-00065,Next Steps,Deep dive (no change) (no change),POC run,2024-04-27
OPP-HIST-00066,Next Steps,Exec sponsor confirm,Implementation plan,2025-03-27
OPP-HIST-00066,Next Steps,Implementation plan,Implementation plan - follow up,2025-05-06
OPP-HIST-00067,Next Steps,,Procurement alignment,2025-06-04
OPP-HIST-00067,Next Steps,Procurement alignment,Procurement alignment - minor,2025-06-27
OPP-HIST-00067,Next Steps,Procurement alignment - minor,Procurement alignment - minor - minor,2025-07-22
OPP-HIST-00067,Next Steps,Procurement alignment - minor - minor,Procurement alignment - minor - minor - follow up,2025-08-15
OPP-HIST-00068,Next Steps,Procurement alignment,Proposal review,2025-01-01
OPP-HIST-00069,Next Steps,Exec sponsor confirm,Deep dive,2024-02-27
OPP-HIST-00069,Next Steps,Deep dive,POC run,2024-03-26
OPP-HIST-00069,Next Steps,POC run,POC run - follow up,2024-04-05
OPP-HIST-00069,Next Steps,POC run - follow up,Proposal review,2024-05-09
OPP-HIST-00070,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2024-03-30
OPP-HIST-00071,Next Steps,Exec sponsor confirm,Implementation plan,2024-02-13
OPP-HIST-00071,Next Steps,Implementation plan,Implementation plan - pending,2024-02-21
OPP-HIST-00072,Next Steps,POC run,POC run (no change),2023-10-27
OPP-HIST-00072,Next Steps,POC run (no change),POC run (no change) - follow up,2023-12-02
OPP-HIST-00072,Next Steps,POC run (no change) - follow up,POC run (no change) - follow up - minor,2023-12-08
OPP-HIST-00072,Next Steps,POC run (no change) - follow up - minor,Deep dive,2023-12-22
OPP-HIST-00072,Next Steps,Deep dive,Deep dive,2024-01-27
OPP-HIST-00073,Next Steps,Exec sponsor confirm,POC run,2025-04-26
OPP-HIST-00073,Next Steps,POC run,Procurement alignment,2025-05-17
OPP-HIST-00073,Next Steps,Procurement alignment,Procurement alignment - follow up,2025-06-01
OPP-HIST-00073,Next Steps,Procurement alignment - follow up,Procurement alignment - follow up - follow up,2025-06-09
OPP-HIST-00073,Next Steps,Procurement alignment - follow up - follow up,Procurement alignment - follow up - follow up - pending,2025-07-03
OPP-HIST-00074,Next Steps,Procurement alignment,Proposal review,2025-03-02
OPP-HIST-00074,Next Steps,Proposal review,Implementation plan,2025-03-13
OPP-HIST-00075,Next Steps,,Implementation plan,2024-02-28
OPP-HIST-00075,Next Steps,Implementation plan,Implementation plan - pending,2024-03-09
OPP-HIST-00076,Next Steps,Procurement alignment,Procurement alignment - update,2024-03-11
OPP-HIST-00076,Next Steps,Procurement alignment - update,Procurement alignment,2024-03-25
OPP-HIST-00077,Next Steps,,Procurement alignment,2025-02-19
OPP-HIST-00079,Next Steps,Procurement alignment,Procurement alignment - pending,2024-12-29
OPP-HIST-00079,Next Steps,Procurement alignment - pending,Procurement alignment - pending (no change),2025-01-12
OPP-HIST-00079,Next Steps,Procurement alignment - pending (no change),Exec sponsor confirm,2025-02-01
OPP-HIST-00079,Next Steps,Exec sponsor confirm,Deep dive,2025-02-21
OPP-HIST-00079,Next Steps,Deep dive,Deep dive - update,2025-03-21
OPP-HIST-00083,Next Steps,Proposal review,Proposal review - pending,2024-02-26
OPP-HIST-00083,Next Steps,Proposal review - pending,Exec sponsor confirm,2024-03-08
OPP-HIST-00083,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2024-04-03
OPP-HIST-00084,Next Steps,Exec sponsor confirm,Procurement alignment,2023-11-12
OPP-HIST-00085,Next Steps,Exec sponsor confirm,Proposal review,2023-11-24
OPP-HIST-00085,Next Steps,Proposal review,Deep dive,2023-12-03
OPP-HIST-00085,Next Steps,Deep dive,Deep dive,2023-12-16
OPP-HIST-00085,Next Steps,Deep dive,Deep dive - update,2024-01-11
OPP-HIST-00086,Next Steps,Exec sponsor confirm,Exec sponsor confirm,2024-05-04
OPP-HIST-00086,Next Steps,Exec sponsor confirm,Proposal review,2024-06-02
OPP-HIST-00087,Next Steps,Procurement alignment,Implementation plan,2025-04-18
OPP-HIST-00087,Next Steps,Implementation plan,Implementation plan - minor,2025-05-28
OPP-HIST-00087,Next Steps,Implementation plan - minor,Implementation plan - minor (no change),2025-06-17
OPP-HIST-00088,Next Steps,POC run,POC run (no change),2024-01-14
OPP-HIST-00088,Next Steps,POC run (no change),POC run (no change) - pending,2024-01-21
OPP-HIST-00088,Next Steps,POC run (no change) - pending,POC run (no change) - pending - pending,2024-02-24
OPP-HIST-00090,Next Steps,Deep dive,Deep dive - minor,2023-12-08
OPP-HIST-00090,Next Steps,Deep dive - minor,Exec sponsor confirm,2024-01-05
OPP-HIST-00091,Next Steps,,Proposal review,2023-11-28
OPP-HIST-00091,Next Steps,Proposal review,Implementation plan,2024-01-06
OPP-HIST-00091,Next Steps,Implementation plan,Implementation plan - update,2024-02-07
OPP-HIST-00091,Next Steps,Implementation plan - update,Implementation plan - update - follow up,2024-02-26
OPP-HIST-00091,Next Steps,Implementation plan - update - follow up,Implementation plan - update - follow up - pending,2024-03-03
OPP-HIST-00092,Next Steps,POC run,Exec sponsor confirm,2024-12-13
OPP-HIST-00092,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2024-12-17
OPP-HIST-00092,Next Steps,Exec sponsor confirm - update,Deep dive,2024-12-25
OPP-HIST-00092,Next Steps,Deep dive,Proposal review,2025-01-10
OPP-HIST-00092,Next Steps,Proposal review,Proposal review - follow up,2025-01-14
OPP-HIST-00093,Next Steps,Implementation plan,Implementation plan - follow up,2024-04-03
OPP-HIST-00095,Next Steps,,Exec sponsor confirm,2024-12-06
OPP-HIST-00095,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2024-12-13
OPP-HIST-00095,Next Steps,Exec sponsor confirm - minor,Implementation plan,2025-01-08
OPP-HIST-00095,Next Steps,Implementation plan,Implementation plan (no change),2025-02-01
OPP-HIST-00095,Next Steps,Implementation plan (no change),Procurement alignment,2025-02-15
OPP-HIST-00096,Next Steps,Proposal review,Proposal review - follow up,2025-05-26
OPP-HIST-00096,Next Steps,Proposal review - follow up,Proposal review - follow up - pending,2025-06-19
OPP-HIST-00096,Next Steps,Proposal review - follow up - pending,Proposal review - follow up - pending - update,2025-07-29
OPP-HIST-00097,Next Steps,,POC run,2024-03-27
OPP-HIST-00097,Next Steps,POC run,POC run (no change),2024-05-06
OPP-HIST-00098,Next Steps,Implementation plan,Implementation plan - update,2025-02-19
OPP-HIST-00098,Next Steps,Implementation plan - update,Deep dive,2025-03-31
OPP-HIST-00099,Next Steps,Proposal review,Deep dive,2023-11-28
OPP-HIST-00099,Next Steps,Deep dive,Deep dive - update,2023-12-05
OPP-HIST-00100,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2024-04-10
OPP-HIST-00100,Next Steps,Exec sponsor confirm - minor,Exec sponsor confirm - minor (no change),2024-04-29
OPP-HIST-00100,Next Steps,Exec sponsor confirm - minor (no change),Implementation plan,2024-05-11
OPP-HIST-00101,Next Steps,POC run,POC run,2025-01-06
OPP-HIST-00101,Next Steps,POC run,Implementation plan,2025-02-12
OPP-HIST-00101,Next Steps,Implementation plan,Implementation plan - pending,2025-03-14
OPP-HIST-00101,Next Steps,Implementation plan - pending,Implementation plan - pending (no change),2025-03-16
OPP-HIST-00102,Next Steps,,Deep dive,2024-05-31
OPP-HIST-00103,Next Steps,,Procurement alignment,2025-02-15
OPP-HIST-00103,Next Steps,Procurement alignment,Procurement alignment (no change),2025-03-15
OPP-HIST-00103,Next Steps,Procurement alignment (no change),Proposal review,2025-04-12
OPP-HIST-00103,Next Steps,Proposal review,Proposal review - pending,2025-05-07
OPP-HIST-00103,Next Steps,Proposal review - pending,Exec sponsor confirm,2025-05-07
OPP-HIST-00106,Next Steps,POC run,POC run,2025-03-16
OPP-HIST-00106,Next Steps,POC run,POC run - pending,2025-03-28
OPP-HIST-00107,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2025-03-13
OPP-HIST-00107,Next Steps,Exec sponsor confirm - follow up,Proposal review,2025-03-29
OPP-HIST-00107,Next Steps,Proposal review,Proposal review - pending,2025-04-07
OPP-HIST-00107,Next Steps,Proposal review - pending,Implementation plan,2025-04-17
OPP-HIST-00108,Next Steps,Proposal review,Proposal review - update,2024-01-16
OPP-HIST-00108,Next Steps,Proposal review - update,Proposal review - update - follow up,2024-02-23
OPP-HIST-00110,Next Steps,Proposal review,Procurement alignment,2024-11-03
OPP-HIST-00110,Next Steps,Procurement alignment,Procurement alignment - follow up,2024-11-19
OPP-HIST-00111,Next Steps,Implementation plan,Exec sponsor confirm,2024-03-16
OPP-HIST-00111,Next Steps,Exec sponsor confirm,Exec sponsor confirm,2024-03-26
OPP-HIST-00111,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2024-04-23
OPP-HIST-00111,Next Steps,Exec sponsor confirm (no change),Exec sponsor confirm (no change) (no change),2024-04-21
OPP-HIST-00112,Next Steps,,Procurement alignment,2025-06-09
OPP-HIST-00112,Next Steps,Procurement alignment,Exec sponsor confirm,2025-07-04
OPP-HIST-00112,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2025-07-24
OPP-HIST-00112,Next Steps,Exec sponsor confirm (no change),Exec sponsor confirm (no change) - minor,2025-07-29
OPP-HIST-00113,Next Steps,,Deep dive,2024-01-18
OPP-HIST-00113,Next Steps,Deep dive,Deep dive (no change),2024-02-26
OPP-HIST-00113,Next Steps,Deep dive (no change),Exec sponsor confirm,2024-03-13
OPP-HIST-00113,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2024-04-11
OPP-HIST-00113,Next Steps,Exec sponsor confirm - pending,Exec sponsor confirm - pending - minor,2024-05-11
OPP-HIST-00114,Next Steps,Deep dive,Deep dive (no change),2024-04-28
OPP-HIST-00114,Next Steps,Deep dive (no change),POC run,2024-05-21
OPP-HIST-00114,Next Steps,POC run,POC run - follow up,2024-06-06
OPP-HIST-00114,Next Steps,POC run - follow up,POC run - follow up - follow up,2024-06-26
OPP-HIST-00115,Next Steps,Implementation plan,Exec sponsor confirm,2023-12-18
OPP-HIST-00115,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2024-01-16
OPP-HIST-00115,Next Steps,Exec sponsor confirm - pending,Exec sponsor confirm - pending - follow up,2024-02-11
OPP-HIST-00115,Next Steps,Exec sponsor confirm - pending - follow up,Exec sponsor confirm - pending - follow up - update,2024-02-24
OPP-HIST-00115,Next Steps,Exec sponsor confirm - pending - follow up - update,Exec sponsor confirm - pending - follow up - update - update,2024-02-26
OPP-HIST-00116,Next Steps,Proposal review,Proposal review - follow up,2025-01-21
OPP-HIST-00117,Next Steps,Proposal review,Proposal review,2023-11-13
OPP-HIST-00117,Next Steps,Proposal review,Proposal review - follow up,2023-12-20
OPP-HIST-00117,Next Steps,Proposal review - follow up,Proposal review - follow up (no change),2024-01-12
OPP-HIST-00117,Next Steps,Proposal review - follow up (no change),Implementation plan,2024-01-11
OPP-HIST-00117,Next Steps,Implementation plan,Implementation plan - minor,2024-01-12
OPP-HIST-00118,Next Steps,POC run,POC run - pending,2025-01-02
OPP-HIST-00118,Next Steps,POC run - pending,POC run - pending (no change),2025-01-15
OPP-HIST-00118,Next Steps,POC run - pending (no change),POC run - pending (no change) - update,2025-01-22
OPP-HIST-00118,Next Steps,POC run - pending (no change) - update,Deep dive,2025-02-17
OPP-HIST-00119,Next Steps,Procurement alignment,Implementation plan,2025-06-08
OPP-HIST-00119,Next Steps,Implementation plan,Implementation plan - update,2025-06-24
OPP-HIST-00119,Next Steps,Implementation plan - update,Exec sponsor confirm,2025-07-03
OPP-HIST-00119,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2025-07-18
OPP-HIST-00120,Next Steps,Procurement alignment,Exec sponsor confirm,2024-11-20
OPP-HIST-00120,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2024-12-26
OPP-HIST-00120,Next Steps,Exec sponsor confirm - minor,Proposal review,2025-01-24
OPP-HIST-00120,Next Steps,Proposal review,Proposal review (no change),2025-03-02
OPP-HIST-00121,Next Steps,Exec sponsor confirm,Deep dive,2023-11-26
OPP-HIST-00121,Next Steps,Deep dive,Proposal review,2024-01-04
OPP-HIST-00121,Next Steps,Proposal review,Deep dive,2024-01-20
OPP-HIST-00122,Next Steps,,Exec sponsor confirm,2024-11-27
OPP-HIST-00123,Next Steps,Exec sponsor confirm,Implementation plan,2024-02-09
OPP-HIST-00123,Next Steps,Implementation plan,Implementation plan - pending,2024-02-26
OPP-HIST-00123,Next Steps,Implementation plan - pending,Implementation plan - pending - follow up,2024-03-21
OPP-HIST-00123,Next Steps,Implementation plan - pending - follow up,Proposal review,2024-04-10
OPP-HIST-00124,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2025-02-02
OPP-HIST-00125,Next Steps,Deep dive,Deep dive - minor,2025-04-05
OPP-HIST-00125,Next Steps,Deep dive - minor,Deep dive - minor (no change),2025-04-22
OPP-HIST-00125,Next Steps,Deep dive - minor (no change),Deep dive - minor (no change) (no change),2025-06-01
OPP-HIST-00125,Next Steps,Deep dive - minor (no change) (no change),Deep dive - minor (no change) (no change) - update,2025-06-20
OPP-HIST-00126,Next Steps,Deep dive,Deep dive - pending,2024-06-04
OPP-HIST-00127,Next Steps,Deep dive,Deep dive - pending,2025-05-28
OPP-HIST-00127,Next Steps,Deep dive - pending,Exec sponsor confirm,2025-06-10
OPP-HIST-00127,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2025-06-10
OPP-HIST-00128,Next Steps,Deep dive,Deep dive - pending,2024-01-23
OPP-HIST-00128,Next Steps,Deep dive - pending,Deep dive - pending - follow up,2024-03-01
OPP-HIST-00128,Next Steps,Deep dive - pending - follow up,Deep dive - pending - follow up - update,2024-03-07
OPP-HIST-00128,Next Steps,Deep dive - pending - follow up - update,Procurement alignment,2024-03-14
OPP-HIST-00128,Next Steps,Procurement alignment,POC run,2024-03-14
OPP-HIST-00129,Next Steps,POC run,POC run - pending,2024-03-28
OPP-HIST-00130,Next Steps,Exec sponsor confirm,Exec sponsor confirm,2025-06-18
OPP-HIST-00130,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2025-07-14
OPP-HIST-00130,Next Steps,Exec sponsor confirm - follow up,Proposal review,2025-08-06
OPP-HIST-00130,Next Steps,Proposal review,Deep dive,2025-08-13
OPP-HIST-00130,Next Steps,Deep dive,Deep dive - update,2025-09-11
OPP-HIST-00131,Next Steps,Proposal review,Proposal review - follow up,2025-02-02
OPP-HIST-00131,Next Steps,Proposal review - follow up,Proposal review - follow up (no change),2025-03-07
OPP-HIST-00131,Next Steps,Proposal review - follow up (no change),Procurement alignment,2025-03-12
OPP-HIST-00131,Next Steps,Procurement alignment,Procurement alignment,2025-04-02
OPP-HIST-00131,Next Steps,Procurement alignment,POC run,2025-04-29
OPP-HIST-00132,Next Steps,Exec sponsor confirm,Deep dive,2024-10-23
OPP-HIST-00132,Next Steps,Deep dive,Exec sponsor confirm,2024-11-28
OPP-HIST-00134,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2025-02-22
OPP-HIST-00134,Next Steps,Exec sponsor confirm - follow up,Exec sponsor confirm - follow up - minor,2025-03-02
OPP-HIST-00134,Next Steps,Exec sponsor confirm - follow up - minor,Exec sponsor confirm,2025-03-26
OPP-HIST-00134,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2025-04-11
OPP-HIST-00135,Next Steps,POC run,POC run - minor,2024-02-20
OPP-HIST-00135,Next Steps,POC run - minor,POC run - minor - pending,2024-03-01
OPP-HIST-00136,Next Steps,Deep dive,Exec sponsor confirm,2025-03-16
OPP-HIST-00136,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2025-04-08
OPP-HIST-00136,Next Steps,Exec sponsor confirm - pending,Exec sponsor confirm - pending - pending,2025-04-26
OPP-HIST-00136,Next Steps,Exec sponsor confirm - pending - pending,Exec sponsor confirm,2025-05-08
OPP-HIST-00136,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2025-05-19
OPP-HIST-00137,Next Steps,,Exec sponsor confirm,2023-12-28
OPP-HIST-00137,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2024-01-11
OPP-HIST-00137,Next Steps,Exec sponsor confirm - update,Exec sponsor confirm - update - pending,2024-02-18
OPP-HIST-00137,Next Steps,Exec sponsor confirm - update - pending,Implementation plan,2024-02-24
OPP-HIST-00138,Next Steps,Deep dive,Deep dive (no change),2024-03-12
OPP-HIST-00138,Next Steps,Deep dive (no change),Deep dive (no change) - follow up,2024-03-31
OPP-HIST-00138,Next Steps,Deep dive (no change) - follow up,Procurement alignment,2024-04-09
OPP-HIST-00138,Next Steps,Procurement alignment,POC run,2024-04-23
OPP-HIST-00139,Next Steps,Implementation plan,Implementation plan - update,2025-01-19
OPP-HIST-00140,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2024-06-05
OPP-HIST-00140,Next Steps,Exec sponsor confirm - minor,POC run,2024-06-26
OPP-HIST-00140,Next Steps,POC run,POC run - minor,2024-07-29
OPP-HIST-00140,Next Steps,POC run - minor,POC run - minor - update,2024-08-23
OPP-HIST-00140,Next Steps,POC run - minor - update,POC run - minor - update - follow up,2024-09-04
OPP-HIST-00141,Next Steps,Procurement alignment,Proposal review,2024-02-29
OPP-HIST-00141,Next Steps,Proposal review,Implementation plan,2024-04-01
OPP-HIST-00141,Next Steps,Implementation plan,Implementation plan - minor,2024-04-17
OPP-HIST-00142,Next Steps,,Deep dive,2025-05-31
OPP-HIST-00142,Next Steps,Deep dive,Deep dive - follow up,2025-06-06
OPP-HIST-00142,Next Steps,Deep dive - follow up,Deep dive - follow up - pending,2025-07-03
OPP-HIST-00143,Next Steps,Proposal review,Procurement alignment,2024-06-19
OPP-HIST-00143,Next Steps,Procurement alignment,Exec sponsor confirm,2024-07-01
OPP-HIST-00144,Next Steps,POC run,POC run - follow up,2023-11-16
